Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onConfigChange(Landroid/os/Bundle;)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onDestroy()V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onMediaPause(I)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onMediaPlay(I)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onMediaSeekTo(IJ)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onPlayerCreate()V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onPlayerRelease()V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onSurfaceChanged(IIII)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onSurfaceCreated(ILandroid/view/Surface;Ljava/lang/String;)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;->onSurfaceDestroyed(I)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->PLAYBACK_STATE_BUFFERING:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->PLAYBACK_STATE_COMPLETED:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->PLAYBACK_STATE_ERROR_PERMANENT_FAILURE:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->PLAYBACK_STATE_ERROR_RETRIABLE_FAILURE:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->PLAYBACK_STATE_MEDIA_SIZE_CHANGED:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->PLAYBACK_STATE_PAUSED:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->PLAYBACK_STATE_READY:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->PLAYBACK_STATE_STARTED:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;->setPlaybackState(IILandroid/os/Bundle;)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;-><init>()V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->attachInfo(Landroid/content/Context;Landroid/content/pm/ProviderInfo;)V,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->call(Ljava/lang/String;Ljava/lang/String;Landroid/os/Bundle;)Landroid/os/Bundle;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->canonicalize(Landroid/net/Uri;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->delete(Landroid/net/Uri;Ljava/lang/String;[Ljava/lang/String;)I,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->getType(Landroid/net/Uri;)Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->insert(Landroid/net/Uri;Landroid/content/ContentValues;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->onCreateCloudMediaSurfaceController(Landroid/os/Bundle;Landroid/provider/CloudMediaProvider$CloudMediaSurfaceStateChangedCallback;)Landroid/provider/CloudMediaProvider$CloudMediaSurfaceController;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->onGetMediaCollectionInfo(Landroid/os/Bundle;)Landroid/os/Bundle;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->onOpenMedia(Ljava/lang/String;Landroid/os/Bundle;Landroid/os/CancellationSignal;)Landroid/os/ParcelFileDescriptor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->onOpenPreview(Ljava/lang/String;Landroid/graphics/Point;Landroid/os/Bundle;Landroid/os/CancellationSignal;)Landroid/content/res/AssetFileDescriptor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->onQueryAlbums(Landroid/os/Bundle;)Landroid/database/Cursor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->onQueryDeletedMedia(Landroid/os/Bundle;)Landroid/database/Cursor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->onQueryMedia(Landroid/os/Bundle;)Landroid/database/Cursor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->openFile(Landroid/net/Uri;Ljava/lang/String;)Landroid/os/ParcelFileDescriptor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->openFile(Landroid/net/Uri;Ljava/lang/String;Landroid/os/CancellationSignal;)Landroid/os/ParcelFileDescriptor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->openTypedAssetFile(Landroid/net/Uri;Ljava/lang/String;Landroid/os/Bundle;)Landroid/content/res/AssetFileDescriptor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->openTypedAssetFile(Landroid/net/Uri;Ljava/lang/String;Landroid/os/Bundle;Landroid/os/CancellationSignal;)Landroid/content/res/AssetFileDescriptor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->query(Landroid/net/Uri;[Ljava/lang/String;Landroid/os/Bundle;Landroid/os/CancellationSignal;)Landroid/database/Cursor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->query(Landroid/net/Uri;[Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;)Landroid/database/Cursor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->query(Landroid/net/Uri;[Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;Landroid/os/CancellationSignal;)Landroid/database/Cursor;,public-api,system-api,test-api
Landroid/provider/CloudMediaProvider;->update(Landroid/net/Uri;Landroid/content/ContentValues;Ljava/lang/String;[Ljava/lang/String;)I,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$AlbumColumns;->DATE_TAKEN_MILLIS:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$AlbumColumns;->DISPLAY_NAME:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$AlbumColumns;->ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$AlbumColumns;->MEDIA_COUNT:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$AlbumColumns;->MEDIA_COVER_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaCollectionInfo;->ACCOUNT_CONFIGURATION_INTENT:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaCollectionInfo;->ACCOUNT_NAME:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaCollectionInfo;->LAST_MEDIA_SYNC_GENERATION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaCollectionInfo;->MEDIA_COLLECTION_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->DATE_TAKEN_MILLIS:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->DURATION_MILLIS:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->HEIGHT:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->IS_FAVORITE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->MEDIA_STORE_URI:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->MIME_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->ORIENTATION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->SIZE_BYTES:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->STANDARD_MIME_TYPE_EXTENSION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->STANDARD_MIME_TYPE_EXTENSION_ANIMATED_WEBP:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->STANDARD_MIME_TYPE_EXTENSION_GIF:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->STANDARD_MIME_TYPE_EXTENSION_MOTION_PHOTO:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->STANDARD_MIME_TYPE_EXTENSION_NONE:I,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->SYNC_GENERATION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract$MediaColumns;->WIDTH:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->EXTRA_ALBUM_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->EXTRA_LOOPING_PLAYBACK_ENABLED:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->EXTRA_MEDIA_COLLECTION_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->EXTRA_PAGE_SIZE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->EXTRA_PAGE_TOKEN:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->EXTRA_PREVIEW_THUMBNAIL:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->EXTRA_SURFACE_CONTROLLER_AUDIO_MUTE_ENABLED:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->EXTRA_SYNC_GENERATION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->MANAGE_CLOUD_MEDIA_PROVIDERS_PERMISSION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/CloudMediaProviderContract;->PROVIDER_INTERFACE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/IAsyncContentProvider$Default;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/IAsyncContentProvider$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/IAsyncContentProvider$Stub;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/IAsyncContentProvider$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,system-api,test-api
Landroid/provider/ICloudMediaSurfaceController$Default;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/ICloudMediaSurfaceController$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/ICloudMediaSurfaceController$Stub;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/ICloudMediaSurfaceController$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,system-api,test-api
Landroid/provider/ICloudMediaSurfaceStateChangedCallback$Default;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/ICloudMediaSurfaceStateChangedCallback$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/ICloudMediaSurfaceStateChangedCallback$Stub;->asBinder()Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/ICloudMediaSurfaceStateChangedCallback$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,system-api,test-api
Landroid/provider/MediaCognitionProcessingRequest$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,system-api,test-api
Landroid/provider/MediaCognitionProcessingRequest$1;->newArray(I)[Ljava/lang/Object;,public-api,system-api,test-api
Landroid/provider/MediaCognitionProcessingRequest;->describeContents()I,public-api,system-api,test-api
Landroid/provider/MediaCognitionProcessingRequest;->writeToParcel(Landroid/os/Parcel;I)V,public-api,system-api,test-api
Landroid/provider/MediaCognitionProcessingVersions$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,system-api,test-api
Landroid/provider/MediaCognitionProcessingVersions$1;->newArray(I)[Ljava/lang/Object;,public-api,system-api,test-api
Landroid/provider/MediaCognitionProcessingVersions;->describeContents()I,public-api,system-api,test-api
Landroid/provider/MediaCognitionProcessingVersions;->writeToParcel(Landroid/os/Parcel;I)V,public-api,system-api,test-api
Landroid/provider/MediaCognitionService;->onBind(Landroid/content/Intent;)Landroid/os/IBinder;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->ALBUM:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->ALBUM_ART:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->ALBUM_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->ALBUM_KEY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->ARTIST:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->ARTIST_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->ARTIST_KEY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->FIRST_YEAR:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->LAST_YEAR:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->NUMBER_OF_SONGS:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AlbumColumns;->NUMBER_OF_SONGS_FOR_ARTIST:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Albums;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Albums;->CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Albums;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Albums;->ENTRY_CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Albums;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Albums;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Albums;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$ArtistColumns;->ARTIST:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$ArtistColumns;->ARTIST_KEY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$ArtistColumns;->NUMBER_OF_ALBUMS:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$ArtistColumns;->NUMBER_OF_TRACKS:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists$Albums;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists$Albums;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists;->CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists;->ENTRY_CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Artists;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->ALBUM_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->ALBUM_KEY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->ARTIST_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->ARTIST_KEY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->BOOKMARK:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->GENRE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->GENRE_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->GENRE_KEY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->IS_ALARM:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->IS_AUDIOBOOK:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->IS_MUSIC:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->IS_NOTIFICATION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->IS_PODCAST:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->IS_RECORDING:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->IS_RINGTONE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->TITLE_KEY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->TITLE_RESOURCE_URI:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->TRACK:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$AudioColumns;->YEAR:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres$Members;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres$Members;->AUDIO_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres$Members;->CONTENT_DIRECTORY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres$Members;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres$Members;->GENRE_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres$Members;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres;->CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres;->ENTRY_CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Genres;->getContentUriForAudioId(Ljava/lang/String;I)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$GenresColumns;->NAME:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->ENTRY_CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->EXTRA_MAX_BYTES:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->RECORD_SOUND_ACTION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Media;->getContentUriForPath(Ljava/lang/String;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;->AUDIO_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;->CONTENT_DIRECTORY:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;->PLAYLIST_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;->PLAY_ORDER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;->_ID:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists$Members;->moveItem(Landroid/content/ContentResolver;JII)Z,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists;->CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists;->ENTRY_CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Playlists;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$PlaylistsColumns;->DATA:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$PlaylistsColumns;->DATE_ADDED:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$PlaylistsColumns;->DATE_MODIFIED:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$PlaylistsColumns;->NAME:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio$Radio;->ENTRY_CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Audio;->keyFor(Ljava/lang/String;)Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$DownloadColumns;->DOWNLOAD_URI:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$DownloadColumns;->REFERER_URI:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Downloads;->CONTENT_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Downloads;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Downloads;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Downloads;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Downloads;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_AUDIO:I,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_DOCUMENT:I,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_IMAGE:I,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_NONE:I,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_PLAYLIST:I,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_SUBTITLE:I,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_VIDEO:I,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MIME_TYPE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->PARENT:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Files;-><init>()V,public-api,system-api,test-api
Landroid/provider/MediaStore$Files;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Files;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->DESCRIPTION:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->EXPOSURE_TIME:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->F_NUMBER:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->ISO:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->IS_PRIVATE:Ljava/lang/String;,public-api,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->LATITUDE:Ljava/lang/String;,public-api,system-api,test-api
